Location,MaxTemp,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,Humidity3pm,Pressure3pm,RainToday,RainTomorrow
2,20.0,13,31.0,3,14,30.0,1012.8,0,0
2,21.6,14,26.0,1,13,39.0,1016.8,0,0
2,23.9,9,31.0,9,9,33.0,1019.6,0,0
2,22.0,10,28.0,9,9,29.0,1020.0,0,0
2,21.4,2,17.0,1,10,39.0,1020.9,0,0
2,22.9,4,33.0,3,4,34.0,1015.7,0,0
2,16.2,14,39.0,2,5,86.0,1002.4,0,1
2,15.8,13,68.5,14,6,89.0,1000.9,1,1
2,12.9,6,63.0,7,14,62.0,1003.3,1,1
2,11.5,7,26.0,3,6,79.0,1013.5,1,1
2,14.5,14,35.0,13,13,48.0,1018.3,1,0
2,12.2,10,19.0,9,10,46.0,1020.9,0,0
2,16.5,12,19.0,3,12,38.0,1021.5,0,0
2,19.2,12,22.0,1,13,49.0,1024.0,0,0
2,18.9,8,15.0,3,10,51.0,1025.9,0,0
2,19.1,13,19.0,1,15,44.0,1027.3,0,0
2,18.8,2,15.0,3,9,47.0,1028.1,0,0
2,19.3,12,20.0,1,14,49.0,1024.6,0,0
2,19.0,13,15.0,3,13,36.0,1025.8,0,0
2,20.5,13,17.0,3,15,45.0,1021.8,0,0
2,19.5,9,17.0,3,9,40.0,1022.3,0,0
2,17.7,2,15.0,6,8,53.0,1022.2,0,0
2,18.5,13,26.0,1,14,49.0,1018.5,0,0
2,15.1,14,28.0,9,13,61.0,1015.7,0,0
2,16.6,14,54.0,7,7,63.0,1011.0,0,1
2,15.6,13,20.0,0,0,61.0,1019.3,0,0
2,19.7,0,13.0,3,1,34.0,1021.2,0,0
2,18.6,0,13.0,10,1,57.0,1020.5,0,0
2,19.8,9,20.0,3,9,48.0,1022.3,0,0
2,19.8,9,24.0,8,9,43.0,1021.4,0,0
2,22.9,0,30.0,4,9,37.0,1019.4,0,0
2,18.1,0,19.0,0,10,74.0,1019.2,1,0
2,16.2,13,20.0,3,15,58.0,1019.3,0,0
2,15.7,10,13.0,3,8,48.0,1021.6,0,0
2,16.5,2,33.0,3,9,44.0,1024.0,0,0
2,16.8,9,26.0,3,9,44.0,1028.5,0,0
2,13.4,9,13.0,3,2,75.0,1026.2,1,1
2,17.4,1,13.0,7,0,58.0,1017.5,1,0
2,16.1,13,20.0,5,13,57.0,1015.1,0,0
2,10.5,2,11.0,0,9,91.0,1011.1,0,1
2,11.6,6,30.0,6,6,80.0,1006.3,1,1
2,12.0,14,33.0,14,14,79.0,1008.7,1,1
2,8.8,13,43.0,6,14,95.0,1008.3,1,1
2,10.5,14,37.0,13,15,56.0,1018.4,1,0
2,9.6,9,13.0,3,2,72.0,1023.0,0,0
2,8.2,2,15.0,0,10,72.0,1022.2,0,0
2,12.4,1,28.0,0,4,60.0,1013.0,0,0
2,15.8,5,24.0,3,4,49.0,1009.3,0,0
2,14.9,2,13.0,5,9,63.0,1012.8,0,0
2,17.7,9,17.0,3,2,49.0,1022.2,0,0
2,15.9,15,13.0,3,13,52.0,1027.7,0,0
2,14.7,3,11.0,3,9,63.0,1028.6,0,0
2,15.3,2,13.0,4,9,56.0,1027.1,0,0
2,17.3,5,28.0,4,4,56.0,1020.6,0,1
2,17.0,1,46.0,7,1,71.0,1018.6,1,1
2,14.9,9,19.0,9,1,78.0,1018.6,1,0
2,15.5,13,35.0,1,10,70.0,1016.4,0,1
2,14.1,2,41.0,2,9,65.0,1012.7,1,0
2,11.9,10,22.0,9,9,81.0,1005.5,0,1
2,12.3,13,22.0,15,6,76.0,1006.6,1,1
2,15.7,4,26.0,4,5,69.0,1009.4,1,1
2,16.1,7,68.5,4,4,73.0,1001.0,1,1
2,13.3,7,52.0,3,7,68.0,1005.2,1,1
2,11.6,14,54.0,7,14,74.0,1006.8,1,1
2,12.0,13,61.0,13,15,62.0,1009.6,1,0
2,13.2,14,39.0,14,14,76.0,1014.9,0,0
2,12.1,1,19.0,5,15,65.0,1020.4,0,0
2,13.5,0,13.0,3,10,62.0,1023.8,0,0
2,13.1,14,41.0,3,6,73.0,1005.5,0,1
2,11.0,13,30.0,3,11,75.0,1005.8,1,1
2,14.4,3,17.0,5,12,52.0,1020.6,0,0
2,12.0,3,20.0,3,3,64.0,1019.5,0,0
2,14.1,5,24.0,2,4,65.0,1019.8,0,0
2,17.7,3,43.0,1,1,46.0,1013.4,0,0
2,13.5,14,26.0,13,13,58.0,1018.4,1,0
2,12.9,7,22.0,3,6,58.0,1025.4,0,0
2,12.2,4,20.0,3,4,61.0,1022.7,0,0
2,9.8,10,13.0,3,0,74.0,1013.7,0,0
2,8.8,3,20.0,1,6,91.0,1019.9,0,1
2,13.2,14,24.0,7,15,81.0,1025.4,1,0
2,14.5,13,35.0,13,15,61.0,1021.5,1,0
2,13.9,13,30.0,3,14,70.0,1025.3,0,0
2,14.1,6,30.0,12,6,65.0,1024.8,0,0
2,13.8,6,37.0,13,14,49.0,1022.9,0,0
2,14.7,10,17.0,3,1,53.0,1018.9,0,1
2,13.8,5,19.0,1,8,76.0,1020.2,1,0
2,17.1,3,35.0,3,4,58.0,1016.7,0,0
2,13.9,14,57.0,14,15,47.0,1015.6,0,1
2,12.2,2,15.0,8,0,48.0,1018.5,0,0
2,17.7,5,43.0,0,6,59.0,1008.6,0,1
2,14.3,13,24.0,10,7,74.0,1010.0,1,0
2,11.6,7,22.0,7,3,87.0,1015.3,0,1
2,15.2,15,22.0,3,14,61.0,1019.1,1,0
2,15.5,13,39.0,4,1,70.0,1006.4,1,1
2,13.6,14,37.0,13,14,57.0,1019.7,1,0
2,16.4,0,17.0,4,8,61.0,1022.5,0,0
2,18.4,3,22.0,2,3,51.0,1014.3,0,0
2,14.8,14,59.0,5,15,85.0,1001.7,0,1
2,14.1,4,26.0,9,5,57.0,1009.6,1,1
2,18.9,5,26.0,1,5,67.0,1007.1,1,1
2,12.8,13,68.5,13,7,53.0,1008.2,1,1
2,14.4,7,43.0,6,7,56.0,1014.4,1,0
2,16.7,3,30.0,1,3,49.0,1014.6,0,0
2,18.6,6,24.0,2,0,51.0,1013.3,0,1
2,11.1,14,56.0,13,13,57.0,1015.2,1,1
2,16.8,2,24.0,2,0,45.0,1020.2,0,0
2,16.9,7,35.0,2,14,58.0,1012.3,1,0
2,15.0,14,30.0,2,7,54.0,1017.9,0,0
2,16.6,4,37.0,9,4,47.0,1011.4,0,0
2,16.5,13,46.0,13,15,59.0,1009.0,0,0
2,14.3,13,35.0,13,14,67.0,1011.3,0,0
2,25.1,5,35.0,0,14,25.0,1012.2,0,0
2,17.8,12,24.0,4,6,29.0,1019.9,0,0
2,17.2,8,20.0,2,8,44.0,1019.1,0,0
2,21.1,0,17.0,0,2,39.0,1016.8,0,0
2,19.0,14,24.0,0,7,73.0,1011.9,0,1
2,20.4,14,46.0,3,9,54.0,1018.6,1,0
2,20.6,6,22.0,4,14,46.0,1015.0,0,0
2,16.8,13,56.0,13,15,54.0,1003.8,1,1
2,18.2,7,41.0,14,7,55.0,1011.8,1,0
2,17.0,7,19.0,0,14,49.0,1013.4,0,0
2,21.1,11,28.0,3,8,61.0,1008.8,0,0
2,13.5,10,31.0,2,2,75.0,1015.1,1,1
2,16.2,5,20.0,3,9,75.0,1019.4,1,0
2,19.7,13,35.0,3,12,47.0,1018.6,0,0
2,16.2,9,37.0,1,10,77.0,1018.3,0,1
2,15.9,8,35.0,3,11,42.0,1018.5,1,0
2,16.3,2,39.0,0,9,43.0,1023.2,0,0
2,18.7,13,48.0,9,5,50.0,1016.9,0,0
2,23.3,13,59.0,10,4,64.0,999.4,0,1
2,17.7,3,50.0,3,7,71.0,998.25,1,1
2,15.1,13,65.0,14,13,60.0,1002.7,1,1
2,15.7,14,50.0,7,15,84.0,1007.8,1,1
2,19.2,15,28.0,9,13,46.0,1021.6,0,0
2,20.3,7,24.0,11,2,50.0,1024.7,0,0
2,22.7,4,19.0,15,7,38.0,1023.7,0,0
2,26.6,6,30.0,9,8,31.0,1018.4,0,0
2,27.1,10,20.0,2,10,44.0,1017.4,0,0
2,27.1,15,24.0,9,10,38.0,1018.4,0,0
2,23.9,14,35.0,1,12,26.0,1017.6,0,0
2,22.0,9,35.0,9,10,38.0,1022.0,0,0
2,26.9,6,31.0,9,3,50.0,1020.6,0,0
2,29.1,15,22.0,9,8,46.0,1019.5,0,0
2,30.8,10,20.0,0,9,38.0,1019.0,0,0
2,34.0,14,33.0,9,9,35.0,1017.3,0,0
2,32.4,8,20.0,9,9,47.0,1014.6,0,0
2,23.2,14,39.0,15,14,27.0,1015.8,0,0
2,27.9,10,28.0,9,8,32.0,1021.8,0,0
2,33.4,15,37.0,2,10,29.0,1020.6,0,0
2,35.2,12,33.0,9,12,23.0,1017.2,0,0
2,36.0,2,26.0,10,9,18.0,1017.8,0,0
2,35.1,15,43.0,0,12,18.0,1014.8,0,0
2,32.8,9,31.0,9,10,22.0,1013.9,0,0
2,35.4,13,46.0,10,11,25.0,1011.2,0,0
2,36.3,13,35.0,1,13,16.0,1006.5,0,0
2,35.1,13,54.0,10,8,20.0,1002.6,0,0
2,30.5,10,30.0,10,10,18.0,1005.9,0,0
2,39.7,7,37.0,5,14,11.0,1004.6,0,0
2,38.2,7,68.5,10,14,21.0,1002.3,0,1
2,23.6,13,24.0,15,8,37.0,1020.6,0,0
2,25.8,14,30.0,10,8,40.0,1021.6,0,0
2,32.9,9,24.0,8,8,36.0,1016.0,0,0
2,34.5,3,68.5,9,14,70.0,1008.4,0,1
2,26.2,3,24.0,4,9,56.0,1008.6,1,0
2,26.4,13,52.0,14,7,27.0,1002.7,0,1
2,22.3,14,46.0,15,14,54.0,1000.9,1,1
2,23.6,0,37.0,9,9,31.0,1016.9,0,0
2,27.0,14,39.0,10,15,29.0,1018.9,0,0
2,31.5,13,50.0,8,6,16.0,1014.3,0,0
2,27.5,15,44.0,12,12,7.0,1014.4,0,0
2,26.7,13,37.0,9,15,22.0,1012.9,0,0
2,30.7,13,28.0,4,13,23.0,1012.4,0,0
2,24.9,12,54.0,15,12,45.0,1006.0,0,1
2,25.4,14,30.0,11,7,24.0,1009.2,1,0
2,27.4,13,52.0,9,13,26.0,1004.7,0,0
2,22.6,12,41.0,15,12,30.0,1016.3,0,0
2,32.0,10,28.0,10,10,25.0,1015.8,0,0
2,38.6,6,39.0,10,5,8.0,1012.3,0,0
2,40.3,7,68.5,8,14,28.0,1005.7,0,1
2,26.4,13,41.0,7,13,19.0,1014.1,1,0
2,29.2,15,37.0,10,15,23.0,1014.2,0,0
2,33.7,7,39.0,2,7,10.0,1009.6,0,0
2,36.6,15,39.0,1,12,10.0,1007.3,0,0
2,38.2,0,37.0,9,3,12.0,1008.8,0,0
2,34.6,5,63.0,3,6,29.0,1006.3,0,1
2,28.3,9,31.0,3,5,49.0,1008.0,1,0
2,31.3,3,33.0,10,7,34.0,1011.9,0,0
2,27.3,1,24.0,8,4,74.0,1013.9,0,0
2,35.9,10,31.0,1,4,24.0,1017.0,0,0
2,36.8,3,33.0,8,4,15.0,1016.7,0,0
2,33.2,3,44.0,1,4,35.0,1012.0,0,1
2,31.9,5,39.0,7,14,40.0,1008.5,1,1
2,29.7,13,30.0,11,12,32.0,1012.5,0,0
2,32.8,12,30.0,1,6,24.0,1013.6,0,0
2,35.8,13,46.0,0,7,13.0,1011.5,0,0
2,33.8,14,41.0,1,13,7.0,1011.5,0,0
2,33.0,10,28.0,4,9,17.0,1012.7,0,0
2,36.4,3,30.0,9,14,19.0,1014.6,0,0
2,39.8,13,41.0,2,13,19.0,1013.1,0,0
2,42.2,4,30.0,9,6,15.0,1009.1,0,0
2,42.4,6,68.5,8,6,12.0,1003.6,0,0
2,28.4,12,44.0,15,14,79.0,1012.0,0,1
2,31.7,11,35.0,10,10,28.0,1013.2,1,0
2,36.3,6,33.0,9,4,20.0,1011.4,0,0
2,36.6,13,46.0,3,13,11.0,1004.1,0,0
2,22.6,12,52.0,13,15,30.0,1007.0,0,0
2,25.2,13,50.0,13,15,27.0,1009.7,0,0
2,32.9,13,48.0,10,14,15.0,1008.8,0,0
2,37.3,13,56.0,9,14,18.0,1008.1,0,0
2,41.8,6,68.5,9,6,9.0,1003.7,0,0
2,35.4,15,43.0,14,13,9.0,1006.5,0,0
2,33.7,11,28.0,10,14,22.0,1009.7,0,0
2,35.8,14,35.0,0,15,8.0,1008.1,0,0
2,36.4,13,43.0,8,15,14.0,1007.9,0,0
2,34.4,7,35.0,9,14,8.0,1005.2,0,0
2,36.5,4,46.0,10,7,22.0,1012.0,0,0
2,38.2,0,67.0,8,10,19.0,1009.9,0,1
2,34.3,1,39.0,10,4,24.0,1011.7,1,0
2,35.6,0,57.0,10,2,23.0,1008.5,0,0
2,26.1,9,33.0,8,11,70.0,1009.4,1,1
2,34.0,6,37.0,2,2,32.0,1017.8,0,0
2,27.1,4,24.0,0,4,59.0,1007.9,0,0
2,30.3,9,41.0,10,9,43.0,1003.9,0,0
2,26.8,2,52.0,11,9,44.0,1008.8,0,0
2,30.3,5,26.0,0,14,34.0,1019.6,0,0
2,31.8,7,57.0,9,3,35.0,1014.3,0,0
2,34.7,11,59.0,9,9,59.0,1011.2,0,1
2,26.1,13,31.0,13,10,34.0,1016.7,0,0
2,28.5,9,24.0,9,9,35.0,1018.4,0,0
2,31.0,6,22.0,2,2,33.0,1021.3,0,0
2,22.6,13,39.0,9,8,35.0,1009.8,0,0
2,22.3,4,37.0,4,4,93.0,1006.6,0,1
2,22.9,9,39.0,7,0,82.0,1008.8,1,1
2,25.5,7,56.0,3,6,38.0,1007.5,1,1
2,25.0,5,20.0,8,13,40.0,1032.25,0,0
2,25.7,9,24.0,3,0,44.0,1031.4,0,0
2,26.3,9,24.0,10,10,37.0,1026.0,0,0
2,26.6,0,22.0,3,11,38.0,1022.3,0,0
2,29.6,11,19.0,3,13,35.0,1023.3,0,0
2,31.4,13,33.0,10,14,31.0,1017.3,0,0
2,31.9,13,35.0,10,12,36.0,1017.9,0,0
2,25.3,14,30.0,10,14,36.0,1018.8,0,0
2,27.0,14,31.0,8,14,23.0,1018.6,0,0
2,28.8,8,22.0,3,13,31.0,1019.5,0,0
2,29.6,6,24.0,0,6,32.0,1018.0,0,0
2,30.2,0,20.0,3,8,32.0,1017.0,0,0
2,28.7,13,39.0,1,3,41.0,1011.8,0,1
2,26.3,14,26.0,13,14,61.0,1014.9,1,0
2,26.9,11,28.0,3,15,44.0,1017.6,0,0
2,26.1,10,28.0,10,4,42.0,1018.1,0,0
2,25.8,14,26.0,2,7,44.0,1017.4,0,0
2,25.1,9,20.0,3,8,42.0,1017.4,0,0
2,24.8,4,26.0,3,4,41.0,1018.4,0,0
2,24.8,9,20.0,9,3,37.0,1018.2,0,0
2,25.3,9,17.0,10,1,38.0,1016.3,0,0
2,24.7,4,33.0,3,1,40.0,1013.3,0,1
2,23.4,3,30.0,5,14,69.0,1010.5,1,1
2,21.9,0,22.0,9,10,55.0,1011.3,0,0
2,18.6,14,22.0,4,4,79.0,1009.0,0,1
2,19.9,12,19.0,11,13,49.0,1021.1,0,0
2,21.9,10,19.0,0,11,49.0,1020.1,0,0
2,24.7,10,19.0,8,10,45.0,1023.0,0,0
2,25.4,2,17.0,1,10,38.0,1024.4,0,0
2,25.1,11,17.0,3,8,47.0,1023.2,0,0
2,25.9,2,17.0,3,10,46.0,1021.9,0,0
2,25.2,1,26.0,10,0,49.0,1020.1,0,0
2,27.5,7,20.0,1,11,44.0,1019.5,0,0
2,27.3,15,17.0,3,11,40.0,1019.4,0,0
2,29.0,6,35.0,2,6,34.0,1014.0,0,1
2,16.1,1,17.0,3,1,58.0,1018.0,0,1
2,17.3,7,30.0,4,14,50.0,1019.6,1,0
2,17.7,13,28.0,15,15,69.0,1020.4,0,0
2,19.1,2,13.0,3,2,53.0,1024.4,0,0
2,20.7,11,15.0,4,2,47.0,1024.3,0,0
2,23.0,6,30.0,3,4,39.0,1021.9,0,0
2,25.3,14,61.0,15,3,29.0,1011.2,0,1
2,15.3,13,35.0,7,13,68.0,1021.6,0,0
2,17.5,13,20.0,8,14,56.0,1021.7,0,0
2,19.3,10,13.0,3,9,59.0,1021.1,0,0
2,19.5,1,17.0,0,10,54.0,1019.6,0,0
2,19.8,1,17.0,8,4,47.0,1015.2,0,0
2,14.9,13,28.0,2,13,48.0,1021.5,0,0
2,17.1,13,30.0,3,13,55.0,1019.9,0,0
2,18.4,9,13.0,3,1,44.0,1017.3,0,0
2,17.5,2,13.0,3,12,51.0,1018.9,0,0
2,17.0,2,48.0,8,10,50.0,1017.9,0,0
2,19.7,14,17.0,6,14,38.0,1018.7,0,0
2,17.9,10,15.0,3,10,42.0,1019.3,0,0
2,17.1,2,22.0,3,10,45.0,1020.5,0,0
2,18.1,6,24.0,2,6,35.0,1019.2,0,0
2,16.3,2,20.0,2,2,73.0,1013.3,0,1
2,19.0,10,30.0,9,10,50.0,1010.1,1,0
2,17.0,1,22.0,3,4,63.0,1014.3,0,1
2,20.2,9,46.0,11,10,47.0,1004.8,1,0
2,19.1,10,48.0,10,9,48.0,1014.8,0,0
2,16.6,9,13.0,3,9,58.0,1018.5,0,0
2,17.7,13,13.0,3,11,60.0,1020.6,0,0
2,17.7,10,17.0,3,9,50.0,1023.5,0,0
2,15.8,12,13.0,9,1,61.0,1020.4,0,0
2,14.0,8,17.0,3,8,50.0,1024.3,0,0
2,12.2,14,19.0,10,14,49.0,1019.5,0,0
2,8.4,14,37.0,6,14,92.0,1011.1,0,1
2,12.9,13,44.0,15,15,57.0,1021.1,1,0
2,13.2,13,28.0,15,15,66.0,1019.7,0,0
2,13.3,13,22.0,3,8,51.0,1024.3,0,0
2,13.2,2,17.0,3,0,50.0,1032.0,0,0
2,16.2,13,68.5,6,14,65.0,1010.4,1,1
2,15.2,14,35.0,14,7,66.0,1019.6,1,0
2,13.1,7,39.0,3,11,86.0,1026.7,0,0
2,12.5,13,17.0,8,13,83.0,1032.25,0,0
2,14.8,9,15.0,3,9,61.0,1032.25,0,0
2,17.0,1,24.0,0,0,56.0,1024.7,0,0
2,16.1,5,31.0,0,9,95.0,1018.6,0,1
2,11.9,13,22.0,12,7,54.0,1021.8,0,0
2,9.4,3,20.0,1,3,57.0,1019.4,0,0
2,9.8,3,24.0,10,6,78.0,1019.6,0,1
2,11.9,5,13.0,3,12,67.0,1024.3,1,0
2,10.9,2,19.0,8,10,70.0,1024.0,0,0
2,10.8,0,13.0,10,9,77.0,1029.0,0,0
2,12.1,9,22.0,10,9,70.0,1022.8,0,1
2,13.9,10,35.0,14,13,56.0,1019.2,1,0
2,14.8,2,13.0,3,4,50.0,1026.6,0,0
2,16.1,3,46.0,6,5,61.0,1019.5,0,1
2,16.3,14,59.0,7,0,93.0,1008.9,0,1
2,10.0,7,57.0,7,7,91.0,1008.7,1,1
2,12.2,14,43.0,13,13,63.0,1022.0,1,0
2,11.5,0,15.0,2,9,69.0,1025.9,0,0
2,12.8,1,24.0,4,3,59.0,1018.7,0,1
2,13.5,7,20.0,8,8,61.0,1017.8,1,0
2,11.6,14,19.0,10,14,62.0,1024.0,0,0
2,15.7,13,17.0,0,13,61.0,1032.0,0,0
2,14.6,13,22.0,1,13,60.0,1028.9,0,0
2,14.9,15,19.0,3,13,52.0,1032.25,0,0
2,14.8,7,20.0,3,15,80.0,1014.9,1,0
2,14.9,5,30.0,1,3,86.0,1013.5,0,1
2,10.1,14,41.0,3,15,93.0,1014.6,1,1
2,15.7,14,28.0,3,14,51.0,1020.1,0,0
2,12.6,7,22.0,9,14,59.0,1022.8,0,0
2,13.1,2,15.0,3,12,54.0,1023.3,0,0
2,12.6,10,15.0,3,2,58.0,1018.8,0,0
2,15.5,0,31.0,7,4,47.0,1019.0,0,1
2,16.0,6,41.0,0,3,77.0,1008.7,1,1
2,10.4,5,33.0,4,3,85.0,1000.1,1,1
2,14.9,12,50.0,13,15,45.0,1008.0,1,0
2,15.0,13,20.0,3,12,56.0,1013.5,0,0
2,13.0,1,41.0,4,4,67.0,1006.9,0,1
2,11.8,13,56.0,3,13,65.0,1013.8,1,1
2,12.1,0,15.0,3,4,55.0,1020.4,1,0
2,15.1,7,57.0,6,7,56.0,1007.8,1,1
2,11.7,13,46.0,14,14,58.0,1014.8,1,0
2,12.9,14,39.0,14,13,68.0,1017.8,0,0
2,15.3,3,26.0,0,7,49.0,1020.5,0,0
2,12.8,7,17.0,10,14,61.0,1012.6,0,1
2,10.7,14,65.0,14,6,65.0,1005.5,1,1
2,13.4,7,43.0,14,15,55.0,1012.2,1,0
2,14.4,15,22.0,1,13,58.0,1024.0,0,0
2,15.2,15,15.0,13,7,57.0,1027.2,0,0
2,14.2,3,20.0,8,4,61.0,1020.4,0,0
2,15.1,7,17.0,11,12,71.0,1014.9,0,0
2,17.6,9,26.0,10,0,55.0,1017.5,0,1
2,17.7,3,68.5,4,3,87.0,999.0,1,1
2,12.8,7,50.0,7,13,64.0,1018.7,1,1
2,15.1,12,52.0,9,15,49.0,1024.3,1,0
2,15.9,5,24.0,2,1,51.0,1022.6,0,0
2,14.7,1,39.0,9,1,90.0,1009.7,0,1
2,14.0,13,50.0,14,13,86.0,1006.0,1,1
2,15.9,14,35.0,8,14,54.0,1019.2,1,0
2,16.3,3,22.0,2,7,51.0,1017.5,0,0
2,18.7,13,31.0,0,14,47.0,1014.8,0,0
2,19.0,15,46.0,9,9,50.0,1010.3,0,0
2,13.6,15,43.0,13,14,58.0,1015.6,0,0
2,13.4,15,54.0,13,13,49.0,1017.0,0,0
2,14.3,12,39.0,13,15,54.0,1021.9,0,0
2,13.9,13,31.0,14,13,60.0,1018.8,0,0
2,18.7,13,24.0,10,13,54.0,1023.3,0,0
2,19.6,13,24.0,0,14,64.0,1022.6,0,0
2,19.9,13,28.0,3,13,52.0,1021.9,0,0
2,19.1,4,33.0,0,14,61.0,1020.7,0,0
2,19.7,7,28.0,8,6,52.0,1015.1,0,0
2,20.0,14,43.0,7,14,50.0,1011.2,0,0
2,14.6,13,39.0,14,14,49.0,1015.1,0,0
